"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"L2,L1";"2318VRC";2;"L_Ferrite";;;
2;"C22,C19,C20,C21";"C_0201_0603Metric";4;"C";;;
3;"U2,U3,U5,U4";"SOT-23-6";4;"1EDN7550B";;;
4;"R9,R13,R8,R12,R7,R10,R6,R11";"R_0201_0603Metric";8;"R";;;
5;"C13,C16,C9,C17,C18,C12,C15,C14,C10,C11";"C_Rect_L32.0mm_W16.0mm_P27.50mm";10;"C";;;
6;",,,,,,,,,";"";10;"";;;
7;"Q3,Q1,Q2,Q4";"TO-247-3_Vertical";4;"Q_NMOS_DGS";;;
8;"R3";"R_Shunt_Vishay_WSR2_WSR3_KelvinConnection";1;"220K";;;
9;"D1";"Diode_Bridge_Vishay_KBU";1;"KBU6G";;;
10;"C3,C5,C7,C6,C4,C8";"C_Radial_D16.0mm_H25.0mm_P7.50mm";6;"C_Polarized";;;
11;"R2,R4";"R_Shunt_Vishay_WSR2_WSR3_KelvinConnection";2;"R";;;
12;"F1";"Fuseholder_Clip-5x20mm_Bel_FC-203-22_Lateral_P17.80x5.00mm_D1.17mm_Horizontal";1;"Fuse";;;
13;"J1";"Molex_Mega-Fit_76829-0002_2x01_P5.70mm_Vertical";1;"AC-IN";;;
14;"U1";"SMDIP-8_W9.53mm";1;"LTV-827S";;;
15;"R2,R5";"R_0402_1005Metric";2;"R";;;
16;"C1,C2";"C_Rect_L10.3mm_W7.2mm_P7.50mm_MKS4";2;"C";;;
17;"FL1";"L_CommonMode_PulseElectronics_PH9455xxx6NL_2";1;"Choke_CommonMode_PulseElectronics_PH9455x356NL";;;
18;"T1";"WorkTransformer";1;"~";;;
19;"R1";"R_Shunt_Vishay_WSR2_WSR3_KelvinConnection";1;"300k";;;
